frame	type	cpu_addr	value	tracked_ppu_addr
7	PPUDATA	2007	00	21E8
7	PPUDATA	2007	00	21E9
7	PPUDATA	2007	00	21EA
7	PPUDATA	2007	00	21EB
7	PPUDATA	2007	00	21EC
7	PPUDATA	2007	00	21ED
7	PPUDATA	2007	00	21EE
7	PPUDATA	2007	00	21EF
7	PPUDATA	2007	00	21F0
7	PPUDATA	2007	00	21F1
7	PPUDATA	2007	00	21F2
7	PPUDATA	2007	00	21F3
7	PPUDATA	2007	00	21F4
7	PPUDATA	2007	00	21F5
7	PPUDATA	2007	00	21F6
7	PPUDATA	2007	00	21F7
7	PPUDATA	2007	00	21F8
7	PPUDATA	2007	00	21F9
7	PPUDATA	2007	00	21FA
7	PPUDATA	2007	00	21FB
7	PPUDATA	2007	00	21FC
7	PPUDATA	2007	00	21FD
7	PPUDATA	2007	00	21FE
7	PPUDATA	2007	00	21FF
7	PPUDATA	2007	00	2200
7	PPUDATA	2007	00	2201
7	PPUDATA	2007	00	2202
7	PPUDATA	2007	00	2203
7	PPUDATA	2007	00	2204
7	PPUDATA	2007	00	2205
7	PPUDATA	2007	00	2206
7	PPUDATA	2007	00	2207
7	PPUDATA	2007	00	2208
7	PPUDATA	2007	00	2209
7	PPUDATA	2007	00	220A
7	PPUDATA	2007	00	220B
7	PPUDATA	2007	00	220C
7	PPUDATA	2007	00	220D
7	PPUDATA	2007	00	220E
7	PPUDATA	2007	00	220F
7	PPUDATA	2007	00	2210
7	PPUDATA	2007	00	2211
7	PPUDATA	2007	00	2212
7	PPUDATA	2007	00	2213
7	PPUDATA	2007	00	2214
7	PPUDATA	2007	00	2215
7	PPUDATA	2007	00	2216
7	PPUDATA	2007	00	2217
7	PPUDATA	2007	00	2218
7	PPUDATA	2007	00	2219
7	PPUDATA	2007	00	221A
7	PPUDATA	2007	00	221B
7	PPUDATA	2007	00	221C
7	PPUDATA	2007	00	221D
7	PPUDATA	2007	00	221E
7	PPUDATA	2007	00	221F
7	PPUDATA	2007	00	2220
7	PPUDATA	2007	00	2221
7	PPUDATA	2007	00	2222
7	PPUDATA	2007	00	2223
7	PPUDATA	2007	00	2224
7	PPUDATA	2007	00	2225
7	PPUDATA	2007	00	2226
7	PPUDATA	2007	00	2227
7	PPUDATA	2007	00	2228
7	PPUDATA	2007	00	2229
7	PPUDATA	2007	00	222A
7	PPUDATA	2007	00	222B
7	PPUDATA	2007	00	222C
7	PPUDATA	2007	00	222D
7	PPUDATA	2007	00	222E
7	PPUDATA	2007	00	222F
7	PPUDATA	2007	00	2230
7	PPUDATA	2007	00	2231
7	PPUDATA	2007	00	2232
7	PPUDATA	2007	00	2233
7	PPUDATA	2007	00	2234
7	PPUDATA	2007	00	2235
7	PPUDATA	2007	00	2236
7	PPUDATA	2007	00	2237
7	PPUDATA	2007	00	2238
7	PPUDATA	2007	00	2239
7	PPUDATA	2007	00	223A
7	PPUDATA	2007	00	223B
7	PPUDATA	2007	00	223C
7	PPUDATA	2007	00	223D
7	PPUDATA	2007	00	223E
7	PPUDATA	2007	00	223F
7	PPUDATA	2007	00	2240
7	PPUDATA	2007	00	2241
7	PPUDATA	2007	00	2242
7	PPUDATA	2007	00	2243
7	PPUDATA	2007	00	2244
7	PPUDATA	2007	00	2245
7	PPUDATA	2007	00	2246
7	PPUDATA	2007	00	2247
7	PPUDATA	2007	00	2248
7	PPUDATA	2007	00	2249
7	PPUDATA	2007	00	224A
7	PPUDATA	2007	00	224B
7	PPUDATA	2007	00	224C
7	PPUDATA	2007	00	224D
7	PPUDATA	2007	00	224E
7	PPUDATA	2007	00	224F
7	PPUDATA	2007	00	2250
7	PPUDATA	2007	00	2251
7	PPUDATA	2007	00	2252
7	PPUDATA	2007	00	2253
7	PPUDATA	2007	00	2254
7	PPUDATA	2007	00	2255
7	PPUDATA	2007	00	2256
7	PPUDATA	2007	00	2257
7	PPUDATA	2007	00	2258
7	PPUDATA	2007	00	2259
7	PPUDATA	2007	00	225A
7	PPUDATA	2007	00	225B
7	PPUDATA	2007	00	225C
7	PPUDATA	2007	00	225D
7	PPUDATA	2007	00	225E
7	PPUDATA	2007	00	225F
7	PPUDATA	2007	00	2260
7	PPUDATA	2007	00	2261
7	PPUDATA	2007	00	2262
7	PPUDATA	2007	00	2263
7	PPUDATA	2007	00	2264
7	PPUDATA	2007	00	2265
7	PPUDATA	2007	00	2266
7	PPUDATA	2007	00	2267
7	PPUDATA	2007	00	2268
7	PPUDATA	2007	00	2269
7	PPUDATA	2007	00	226A
7	PPUDATA	2007	00	226B
7	PPUDATA	2007	00	226C
7	PPUDATA	2007	00	226D
7	PPUDATA	2007	00	226E
7	PPUDATA	2007	00	226F
7	PPUDATA	2007	00	2270
7	PPUDATA	2007	00	2271
7	PPUDATA	2007	00	2272
7	PPUDATA	2007	00	2273
7	PPUDATA	2007	00	2274
7	PPUDATA	2007	00	2275
7	PPUDATA	2007	00	2276
7	PPUDATA	2007	00	2277
7	PPUDATA	2007	00	2278
7	PPUDATA	2007	00	2279
7	PPUDATA	2007	00	227A
7	PPUDATA	2007	00	227B
7	PPUDATA	2007	00	227C
7	PPUDATA	2007	00	227D
7	PPUDATA	2007	00	227E
7	PPUDATA	2007	00	227F
7	PPUDATA	2007	00	2280
7	PPUDATA	2007	00	2281
7	PPUDATA	2007	00	2282
7	PPUDATA	2007	00	2283
7	PPUDATA	2007	00	2284
7	PPUDATA	2007	00	2285
7	PPUDATA	2007	00	2286
7	PPUDATA	2007	00	2287
7	PPUDATA	2007	00	2288
7	PPUDATA	2007	00	2289
7	PPUDATA	2007	00	228A
7	PPUDATA	2007	00	228B
7	PPUDATA	2007	00	228C
7	PPUDATA	2007	00	228D
7	PPUDATA	2007	00	228E
7	PPUDATA	2007	00	228F
7	PPUDATA	2007	00	2290
7	PPUDATA	2007	00	2291
7	PPUDATA	2007	00	2292
7	PPUDATA	2007	00	2293
7	PPUDATA	2007	00	2294
7	PPUDATA	2007	00	2295
7	PPUDATA	2007	00	2296
7	PPUDATA	2007	00	2297
7	PPUDATA	2007	00	2298
7	PPUDATA	2007	00	2299
7	PPUDATA	2007	00	229A
7	PPUDATA	2007	00	229B
7	PPUDATA	2007	00	229C
7	PPUDATA	2007	00	229D
7	PPUDATA	2007	00	229E
7	PPUDATA	2007	00	229F
7	PPUDATA	2007	00	22A0
7	PPUDATA	2007	00	22A1
7	PPUDATA	2007	00	22A2
7	PPUDATA	2007	00	22A3
7	PPUDATA	2007	00	22A4
7	PPUDATA	2007	00	22A5
7	PPUDATA	2007	00	22A6
7	PPUDATA	2007	00	22A7
7	PPUDATA	2007	00	22A8
7	PPUDATA	2007	00	22A9
7	PPUDATA	2007	00	22AA
7	PPUDATA	2007	00	22AB
7	PPUDATA	2007	00	22AC
7	PPUDATA	2007	00	22AD
7	PPUDATA	2007	00	22AE
7	PPUDATA	2007	00	22AF
7	PPUDATA	2007	00	22B0
7	PPUDATA	2007	00	22B1
7	PPUDATA	2007	00	22B2
7	PPUDATA	2007	00	22B3
7	PPUDATA	2007	00	22B4
7	PPUDATA	2007	00	22B5
7	PPUDATA	2007	00	22B6
7	PPUDATA	2007	00	22B7
7	PPUDATA	2007	00	22B8
7	PPUDATA	2007	00	22B9
7	PPUDATA	2007	00	22BA
7	PPUDATA	2007	00	22BB
7	PPUDATA	2007	00	22BC
7	PPUDATA	2007	00	22BD
7	PPUDATA	2007	00	22BE
7	PPUDATA	2007	00	22BF
7	PPUDATA	2007	00	22C0
7	PPUDATA	2007	00	22C1
7	PPUDATA	2007	00	22C2
7	PPUDATA	2007	00	22C3
7	PPUDATA	2007	00	22C4
7	PPUDATA	2007	00	22C5
7	PPUDATA	2007	00	22C6
7	PPUDATA	2007	00	22C7
7	PPUDATA	2007	00	22C8
7	PPUDATA	2007	00	22C9
7	PPUDATA	2007	00	22CA
7	PPUDATA	2007	00	22CB
7	PPUDATA	2007	00	22CC
7	PPUDATA	2007	00	22CD
7	PPUDATA	2007	00	22CE
7	PPUDATA	2007	00	22CF
7	PPUDATA	2007	00	22D0
7	PPUDATA	2007	00	22D1
7	PPUDATA	2007	00	22D2
7	PPUDATA	2007	00	22D3
7	PPUDATA	2007	00	22D4
7	PPUDATA	2007	00	22D5
7	PPUDATA	2007	00	22D6
7	PPUDATA	2007	00	22D7
7	PPUDATA	2007	00	22D8
7	PPUDATA	2007	00	22D9
7	PPUDATA	2007	00	22DA
7	PPUDATA	2007	00	22DB
7	PPUDATA	2007	00	22DC
7	PPUDATA	2007	00	22DD
7	PPUDATA	2007	00	22DE
7	PPUDATA	2007	00	22DF
7	PPUDATA	2007	00	22E0
7	PPUDATA	2007	00	22E1
7	PPUDATA	2007	00	22E2
7	PPUDATA	2007	00	22E3
7	PPUDATA	2007	00	22E4
7	PPUDATA	2007	00	22E5
7	PPUDATA	2007	00	22E6
7	PPUDATA	2007	00	22E7
7	PPUDATA	2007	00	22E8
7	PPUDATA	2007	00	22E9
7	PPUDATA	2007	00	22EA
7	PPUDATA	2007	00	22EB
7	PPUDATA	2007	00	22EC
7	PPUDATA	2007	00	22ED
7	PPUDATA	2007	00	22EE
7	PPUDATA	2007	00	22EF
7	PPUDATA	2007	00	22F0
7	PPUDATA	2007	00	22F1
7	PPUDATA	2007	00	22F2
7	PPUDATA	2007	00	22F3
7	PPUDATA	2007	00	22F4
7	PPUDATA	2007	00	22F5
7	PPUDATA	2007	00	22F6
7	PPUDATA	2007	00	22F7
7	PPUDATA	2007	00	22F8
7	PPUDATA	2007	00	22F9
7	PPUDATA	2007	00	22FA
7	PPUDATA	2007	00	22FB
7	PPUDATA	2007	00	22FC
